gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AL627309.1,0,NA,NA,NA,NA,NA
AL627309.3,0,NA,NA,NA,NA,NA
AL627309.5,0.0603019939079273,0.0259239694854213,0.152976837129911,0.183776344144528,0.854188914681664,0.999988197785682
AP006222.2,0,NA,NA,NA,NA,NA
AL669831.2,0,NA,NA,NA,NA,NA
LINC01409,0.425030308373775,-0.332251662547131,0.275326514252603,-0.862984951004365,0.388145741145396,0.999988197785682
FAM87B,0,NA,NA,NA,NA,NA
LINC01128,0.452708752744055,-0.19923587728434,0.326253561573375,-0.499676549129314,0.617302847538574,0.999988197785682
LINC00115,0,NA,NA,NA,NA,NA
FAM41C,0,NA,NA,NA,NA,NA
AL645608.6,0,NA,NA,NA,NA,NA
AL645608.2,0,NA,NA,NA,NA,NA
LINC02593,0.0409899647744175,0.0137469884066197,0.152939322156012,0.104336271846017,0.916902494211452,0.999988197785682
SAMD11,0,NA,NA,NA,NA,NA
NOC2L,0.212949271925136,0.043037324020452,0.201098703112041,0.182034083552842,0.85555597793336,0.999988197785682
KLHL17,0.0193120291335098,0.0126204979996764,0.152935680837794,0.0847959151391343,0.932423641092099,0.999988197785682
PLEKHN1,0,NA,NA,NA,NA,NA
PERM1,0,NA,NA,NA,NA,NA
AL645608.7,0.102756573801937,-0.00275448746572579,0.152980538530748,-0.0013113698431205,0.998953678548563,0.999988197785682
HES4,0.731552875886304,-0.266088120818164,0.340474195631926,-0.766500943353335,0.443378290773994,0.999988197785682
ISG15,2.10990073134851,-0.269044038626907,0.337030178041517,-0.820244468234998,0.412076756469937,0.999988197785682
AL645608.1,0,NA,NA,NA,NA,NA
AGRN,0.865800716098969,-0.45613953229596,0.33641488113401,-1.10073533908601,0.271011861022792,0.999988197785682
C1orf159,0.218037152966936,-0.00087666791627622,0.239215133485105,-0.0402438829791752,0.967898692391042,0.999988197785682
AL390719.3,0.0491576298266453,0.0135153661717843,0.152938601586272,0.0654583126603634,0.947809096793505,0.999988197785682
LINC01342,0,NA,NA,NA,NA,NA
AL390719.2,0,NA,NA,NA,NA,NA
TTLL10,0,NA,NA,NA,NA,NA
TNFRSF18,0,NA,NA,NA,NA,NA
TNFRSF4,0.117009728166812,-0.0339049967223076,0.152976992226498,-0.237607938966088,0.812185192441382,0.999988197785682
SDF4,0.366471675371832,-0.0180694400181255,0.273312672069634,-0.313719051015725,0.753734430124275,0.999988197785682
B3GALT6,0.128125994545056,-0.00298627002100741,0.15297988666404,-0.0364675731133249,0.970909534409377,0.999988197785682
C1QTNF12,0.11034165574051,-0.00298627015194955,0.152979886663657,-0.0364675736143026,0.970909534009921,0.999988197785682
AL162741.1,0,NA,NA,NA,NA,NA
UBE2J2,1.3578129662346,0.0365224865350606,0.34676626984018,0.0696953165045202,0.944436169606764,0.999988197785682
LINC01786,0.0637736763232551,0.0135153664093822,0.152938601587038,0.0654583135131393,0.947809096114545,0.999988197785682
SCNN1D,0.0409899647744175,0.0137469884066197,0.152939322156012,0.104336271846017,0.916902494211452,0.999988197785682
ACAP3,0.278867903714666,0.0261210462964022,0.290162997888886,0.105109497894861,0.916288922824314,0.999988197785682
PUSL1,0.113176293650468,-0.00275448746572579,0.152980538530748,-0.0013113698431205,0.998953678548563,0.999988197785682
INTS11,0.242759445103545,0.274517051316037,0.26952003005082,1.04735363019007,0.294936509633183,0.999988197785682
AL139287.1,0,NA,NA,NA,NA,NA
CPTP,0.263264727165565,0.0287812031809059,0.214084836868292,0.164466404776755,0.869363991696573,0.999988197785682
TAS1R3,0,NA,NA,NA,NA,NA
DVL1,0.378565984146289,0.015115203459944,0.280053491230949,0.0520890589670874,0.958457730811558,0.999988197785682
MXRA8,0,NA,NA,NA,NA,NA
AURKAIP1,0.314442661979389,-0.0147878163298873,0.265478735531609,-0.0420963381862039,0.966421899289159,0.999988197785682
CCNL2,3.49901760192961,0.00425023324470801,0.309752860009476,0.0890855001201993,0.9290139608018,0.999988197785682
MRPL20-AS1,0.102757717024421,-0.0232565477332069,0.182190780284264,-0.133904871875812,0.893477797784339,0.999988197785682
MRPL20,1.02349841496916,-0.542077405417147,0.345254374433965,-1.45576633949258,0.145457223846371,0.999988197785682
AL391244.2,0.0868541209565155,-0.0341367688301392,0.152976335280191,-0.259240014649136,0.795450058883322,0.999988197785682
ANKRD65,0.0467406401253417,-0.0176341463720196,0.152934688005328,-0.145955763181444,0.883956310228678,0.999988197785682
AL391244.1,0,NA,NA,NA,NA,NA
TMEM88B,0,NA,NA,NA,NA,NA
LINC01770,0,NA,NA,NA,NA,NA
VWA1,1.05775964673158,-0.429044168277139,0.347470044670147,-0.957559010790759,0.338285176507493,0.999988197785682
ATAD3C,0.234494198559798,0.0250719730676469,0.2050092278057,0.139021225512225,0.889433376381991,0.999988197785682
ATAD3B,0.264776339569203,0.025628941269615,0.20872268972642,0.118033942694362,0.906040763477917,0.999988197785682
ATAD3A,0.323624608743016,0.21430382554396,0.251156411702242,0.838082248041839,0.401984512184899,0.999988197785682
TMEM240,0.124818015235286,-0.0189211418033211,0.153052090247655,-0.129722288590194,0.896786147824108,0.999988197785682
SSU72,1.05831867670546,0.0106538561342689,0.347063039733113,0.147624111883784,0.882639425060162,0.999988197785682
AL645728.1,0.0467406401253417,-0.0176341463720196,0.152934688005328,-0.145955763181444,0.883956310228678,0.999988197785682
FNDC10,0.0396345195089711,-0.017402534855372,0.152935413958989,-0.118935558749805,0.905326409886255,0.999988197785682
AL691432.4,0.0409899647744175,0.0137469884066197,0.152939322156012,0.104336271846017,0.916902494211452,0.999988197785682
AL691432.2,0.147008676275826,-0.0341367687776479,0.152976335280346,-0.246586211898421,0.805228476409133,0.999988197785682
MIB2,0.538657512163065,-0.311431048316187,0.331529371435434,-0.862189754749764,0.388583106595232,0.999988197785682
MMP23B,0,NA,NA,NA,NA,NA
CDK11B,1.4200522865691,-0.0890965803069579,0.349254841575774,-0.27717667847454,0.781644446217262,0.999988197785682
FO704657.1,0,NA,NA,NA,NA,NA
SLC35E2B,0.534941278913924,0.0331276859541721,0.309536164625307,0.0929887675989642,0.925912484714474,0.999988197785682
CDK11A,1.7743092445967,0.437074019120293,0.348388517817345,1.33000308734681,0.183517254085379,0.999988197785682
SLC35E2A,0.360086247730913,-0.0782490937389771,0.265961634735808,-0.302776417304414,0.762060256612913,0.999988197785682
NADK,0.866514849369394,-0.00431777528874112,0.329716669771072,-0.283379881379362,0.776885648913229,0.999988197785682
GNB1,11.5911739312628,-0.111626905836664,0.261362695457289,-0.392260413457258,0.694865810022397,0.999988197785682
AL109917.1,0,NA,NA,NA,NA,NA
CALML6,0,NA,NA,NA,NA,NA
TMEM52,0,NA,NA,NA,NA,NA
CFAP74,0.0389364933609833,0.0137469884066198,0.152939322156012,0.104336271846017,0.916902494211452,0.999988197785682
AL391845.2,0,NA,NA,NA,NA,NA
GABRD,0,NA,NA,NA,NA,NA
PRKCZ,0.0643523182218013,-0.017402534855372,0.152935413958989,-0.118935558749805,0.905326409886255,0.999988197785682
AL590822.2,0,NA,NA,NA,NA,NA
PRKCZ-AS1,0,NA,NA,NA,NA,NA
FAAP20,0.260312082365148,0.120877991717754,0.28680238943995,0.414407090627876,0.678575996940178,0.999988197785682
AL590822.1,0.111571919669346,-0.0341367688301392,0.152976335280191,-0.259240014649136,0.795450058883322,0.999988197785682
SKI,5.45333446479494,0.195097580660103,0.313122208289718,0.602795641538746,0.546644646579998,0.999988197785682
AL590822.3,0,NA,NA,NA,NA,NA
MORN1,0.0939602415728861,-0.034368460304471,0.152975649880692,-0.275054978171156,0.783274000116465,0.999988197785682
AL589739.1,0,NA,NA,NA,NA,NA
