gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AL627309.1,10.8699838551324,0.278490457677989,0.137327003530012,1.98721354668977,0.0468987372805766,0.998264343731402
AL627309.3,0.53820464657774,-0.00632928090998171,0.0738769246165721,-0.091676375058337,0.926955168302347,0.998264343731402
AL627309.5,27.6377619941452,0.159727665398129,0.144571568133323,1.11801940858225,0.2635587041855,0.998264343731402
AP006222.2,0.0883731417451371,-0.00953715139545109,0.0272493149338002,-0.404934049776688,0.685525988929837,0.998264343731402
AL669831.2,0.0514891107701735,-0.00990660845088332,0.0271922882484344,-0.451742456735803,0.651454528391321,0.998264343731402
LINC01409,192.812424820691,0.199824495170191,0.13299811029304,1.50201420790286,0.133093439552856,0.998264343731402
FAM87B,0.16854297369226,-0.0273472094369312,0.0417470813973949,-0.802438018869606,0.422299628251394,0.998264343731402
LINC01128,147.427575554504,0.0101964329785405,0.112719948564045,0.0902219282421157,0.928110859170208,0.998264343731402
LINC00115,6.64969278493622,-0.112248974716096,0.12773824000097,-0.874306169505162,0.381951540402754,0.998264343731402
FAM41C,9.1966704431172,-0.118595591530576,0.135815083045846,-0.891299644336296,0.372768439441656,0.998264343731402
AL645608.6,0.931325146105607,0.0018317239483361,0.0855389359157718,0.0225482436127986,0.982010628930246,0.999958862423554
AL645608.2,0.629095411231143,0.0217028836446249,0.0753607013378956,0.315643169843949,0.752273366735459,0.998264343731402
LINC02593,0.0670334603620298,-0.00873588647453256,0.027215988536771,-0.415816454095493,0.677544317655468,0.998264343731402
SAMD11,0.416157353660673,-0.0310754748102847,0.0615784866838913,-0.554927742242076,0.578944085421379,0.998264343731402
NOC2L,82.4568629661897,-0.165328254896097,0.134254013510804,-1.24513985399838,0.213080346641031,0.998264343731402
KLHL17,32.4761824686485,0.101399380060604,0.144061177841765,0.727036973553735,0.467203306340106,0.998264343731402
PLEKHN1,1.27034417534802,-0.0993800016031249,0.08822069326183,-1.16352432939022,0.244616832923235,0.998264343731402
PERM1,0.259143680684767,-0.0318090800574889,0.0548915411855576,-0.683494177497201,0.494294628144698,0.998264343731402
AL645608.7,1.68381508380873,-0.124701036150764,0.0833300704375417,-1.46012056490124,0.144256941625031,0.998264343731402
HES4,38.0342340807964,-0.308222891404547,0.136260224873402,-2.27949622624123,0.0226375840449882,0.998264343731402
ISG15,10.0445085478462,-0.230275334861434,0.112053948597188,-1.95977458321204,0.0500221432572954,0.998264343731402
AL645608.1,1.86291348450988,-0.0346023047038726,0.0977292298698572,-0.348196829694688,0.727692368529568,0.998264343731402
AGRN,74.2223226757676,-0.0349504802824617,0.144676683549235,-0.241475962892718,0.80918624417311,0.998264343731402
C1orf159,273.946371482118,0.065660046623377,0.110915136360342,0.592171838290465,0.553735525412906,0.998264343731402
AL390719.3,12.7328864970031,-0.192648718453867,0.139967667972437,-1.3687418494121,0.171079983735589,0.998264343731402
LINC01342,0,0,0,0,1,NA
AL390719.2,0.0643849537788313,-0.00964321943563382,0.0271973192101593,-0.484949454709486,0.627712200340036,0.998264343731402
TTLL10,0.731090634779903,0.0108640498464744,0.0663408322148352,0.180087918801572,0.857083546949283,0.998264343731402
