gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AL627309.1,1.20220949799558,0.0825106342302708,0.10993557228753,0.735995038953376,0.461733716950618,0.999867008732092
AL627309.3,0.0709333180639002,-0.00269769627529293,0.030292312007092,-0.0302439580582327,0.975872491090493,0.999867008732092
AL627309.5,3.18679798606913,0.0640705807276123,0.13349459230193,0.58498843258733,0.558555494703199,0.999867008732092
AP006222.2,0.164604950055299,0.00788976281285598,0.0346150910479373,0.254982899465599,0.798736307037548,0.999867008732092
AL669831.2,0.0718981087163497,-0.00271276861129027,0.030292312007092,-0.100019724887925,0.920328665772366,0.999867008732092
LINC01409,28.9336015003492,0.192531115731956,0.135493234767204,1.32307494689025,0.185810455249223,0.999867008732092
FAM87B,0.121135279022815,-0.000137005424482199,0.0320968310957835,0.00501817327059049,0.995996093828405,0.999867008732092
LINC01128,15.6464254648851,-0.116354430477068,0.14725262607713,-0.814656245577334,0.415269105308677,0.999867008732092
LINC00115,1.4499268203698,0.019589546924422,0.102506255449473,0.191399804999061,0.848212372829284,0.999867008732092
FAM41C,0.850792825543236,-0.042967937405084,0.101294801422062,-0.474682655666834,0.635013182182752,0.999867008732092
AL645608.6,1.39063895391048,-0.01710992196255,0.109262650082899,0.170716437966287,0.864446736946004,0.999867008732092
AL645608.2,0.875379121687169,-0.078628111426965,0.0885964075825913,-0.719232246964946,0.4719978336674,0.999867008732092
LINC02593,0,NA,NA,NA,NA,NA
SAMD11,0.123617611409006,-0.0062740047586347,0.030292312007092,-0.245872629681442,0.805780831889067,0.999867008732092
NOC2L,20.9053361896138,0.121301156978221,0.140953060430019,0.934384618796325,0.350105528996614,0.999867008732092
KLHL17,4.94188499183373,0.0133358322708555,0.148420199912278,0.104325820737469,0.916910787729219,0.999867008732092
PLEKHN1,0.139228552646355,0.00343915671822957,0.030292312007092,0.150113410468244,0.880675139849506,0.999867008732092
PERM1,0.144072371510319,-0.011809791846315,0.0334047631258912,-0.249447906351465,0.803014332101397,0.999867008732092
AL645608.7,0.28706825670639,-0.0185300919138576,0.0519779512143892,-0.306960356477877,0.758873547341927,0.999867008732092
HES4,3.29287554758919,-0.37258979487379,0.13065655055419,-2.82744888046736,0.0046920506070161,0.521876941067219
ISG15,10.1908834700591,-0.305729127296294,0.11652735932064,-2.28933983396981,0.0220596149647366,0.791483288131215
AL645608.1,0.180147176160057,-0.00348368682436426,0.049163841155248,-0.0672385864351416,0.946391767082557,0.999867008732092
AGRN,33.4930832356808,-0.230570624062992,0.141715018363793,-1.61723429404706,0.105827716313162,0.999867008732092
C1orf159,38.5538773057398,0.0116084766534833,0.152003860695501,0.0710005506604972,0.943397317234776,0.999867008732092
AL390719.3,1.92764545445909,-0.0208996989725667,0.128008174277022,-0.290583545467993,0.771369846111354,0.999867008732092
LINC01342,0.329371188753331,0.0299611565230784,0.0604957291252696,0.603652621068615,0.546074620004109,0.999867008732092
AL390719.2,0,NA,NA,NA,NA,NA
TTLL10,0.0978166892951147,-0.00011524481425357,0.0303920250465749,0.0253960923638649,0.979739027946069,0.999867008732092
TNFRSF18,0.0690412435198625,0.000856003704052827,0.030292312007092,0.0774042670280776,0.938301946371666,0.999867008732092
TNFRSF4,0.0692996747648695,-0.00269769627529293,0.030292312007092,-0.0252697930087758,0.979839767920938,0.999867008732092
SDF4,31.2374987560156,-0.0123995069028034,0.129198364741517,-0.110483543530728,0.912025900326702,0.999867008732092
B3GALT6,6.40168867166544,0.00622152195160618,0.152331474540914,-0.0420498373969163,0.966458968727335,0.999867008732092
C1QTNF12,0.549301878697886,-0.0169658158574177,0.0848982011848752,0.0598202804542698,0.95229877303392,0.999867008732092
AL162741.1,0.041160070557181,0.000848467536054152,0.030292312007092,0.0371379757754433,0.970374992611882,0.999867008732092
UBE2J2,34.3766077359347,-0.0496112710693304,0.129712645457778,-0.437016521595309,0.662099366238108,0.999867008732092
LINC01786,8.53928012884853,-0.153452894233009,0.152278704492673,-0.985264488365827,0.324494171195134,0.999867008732092
SCNN1D,20.4915649406321,-0.151498789678278,0.152777205397782,-0.918550229011968,0.35833087503249,0.999867008732092
ACAP3,262.747224833681,-0.123976999395729,0.150019237335038,-0.66732193485235,0.504566518322773,0.999867008732092
PUSL1,2.55269811199995,-0.0351777731879619,0.138903970936591,-0.152180897383889,0.879044260151023,0.999867008732092
INTS11,49.2351339153169,0.0471196092286096,0.130261075890871,0.400944712882756,0.688460829244359,0.999867008732092
AL139287.1,0.0333032677313472,-0.00528838545746834,0.030292312007092,-0.136096528138666,0.891744972136119,0.999867008732092
CPTP,4.98475970858575,-0.114143418355245,0.149674342719449,-0.86519092265741,0.38693400678927,0.999867008732092
TAS1R3,0.127648091393556,-0.00721664613319535,0.0324829455439391,-0.227631290669935,0.819932892043681,0.999867008732092
DVL1,17.7000517998586,-0.15892264688786,0.14364720345084,-1.08580021627254,0.277567390705025,0.999867008732092
MXRA8,0.0808821874444512,-0.00271276861129028,0.030292312007092,-0.100019724887925,0.920328665772366,0.999867008732092
AURKAIP1,7.2959088151903,-0.123998904636566,0.151403685079472,-0.711340058704099,0.47687353365924,0.999867008732092
CCNL2,74.6612224637984,-0.0707684772530434,0.130252486681937,-0.556021086037209,0.578196440110709,0.999867008732092
MRPL20-AS1,1.91521243007721,-0.0651558964751794,0.10460419401211,-0.694408809876948,0.487425870387505,0.999867008732092
MRPL20,20.0541593697545,-0.369666576183399,0.137899454584765,-2.73098587892047,0.00631451771827585,0.578905963671933
AL391244.2,2.98076573330873,-0.041015230791868,0.139109384094661,-0.407546516254782,0.683606636962614,0.999867008732092
ANKRD65,6.0566454064207,-0.242692623077123,0.127164512298859,-1.823061426604,0.0682940879454623,0.999867008732092
