gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AL627309.1,13.2606703726922,0.0777450357367748,0.175113301949603,0.4414254995683,0.658904985151276,0.893184401536091
AL627309.3,0.769522909633475,0.0969394592152672,0.0895047621842039,1.28932172815125,0.197286260172917,NA
AL627309.5,32.1532320998537,0.0865456250032292,0.162983422151469,0.531215687723664,0.595269323092623,0.868017379768923
AP006222.2,0.127007177466112,0.0037136463696162,0.0397877878204819,0.0969101157020296,0.922797775453527,NA
AL669831.2,0.125517150018024,0.00140056960135729,0.0476567621684192,0.0323003347000719,0.974232542293285,NA
LINC01409,163.221563030705,0.085453277185864,0.12692629076397,0.673182045998784,0.500831481922244,0.826111388728249
FAM87B,0.209317265391587,0.0133392807122434,0.0622655314489963,0.254721030127013,0.798938572206552,NA
LINC01128,113.974006988832,-0.081633816465714,0.129725249407393,-0.629074898252546,0.529300023134414,0.838734923287935
LINC00115,23.6539941483351,0.00679134557531495,0.174881988972563,0.0388142345914332,0.969038495824128,0.991733216707271
FAM41C,15.7391185365713,-0.0839911602943256,0.175867947217453,-0.48262824690616,0.629359718984923,0.881224138051297
AL645608.6,0,NA,NA,NA,NA,NA
AL645608.2,0.11228916769428,0.0034075012402544,0.0397871670399837,0.0835341453934892,0.933426828160895,NA
LINC02593,0.269278929720929,-0.00609306024429556,0.0468880841648679,-0.136711981787053,0.891258458365351,NA
SAMD11,1.47414613233591,-0.12298535772535,0.108574645822163,-1.29671590143814,0.19472895599877,NA
NOC2L,164.891273915664,-0.0231312554759886,0.110440526100537,-0.209469352854095,0.834081857569853,0.952656494054277
KLHL17,26.8249027695535,0.0343314139630813,0.175828879101999,0.196467058448222,0.844244613738548,0.955704536926637
PLEKHN1,0,NA,NA,NA,NA,NA
PERM1,0.176562176371784,0.00831734030050685,0.0424985956281693,0.207055956686413,0.835966158140957,NA
AL645608.7,0.776387860693768,-0.0651817416414206,0.0813814027717509,-0.975148955219146,0.329486377959061,NA
HES4,11.0338021184434,0.0267711313403394,0.165700896185324,0.16848665839902,0.866200438688677,0.962854808836065
ISG15,4.37479691204271,-0.421840925453717,0.173427819356657,0.632254407154587,0.527220650576969,0.83794031435016
AL645608.1,0.163954948174951,-0.0125921958438873,0.0604243012834622,-0.220584693421544,0.825415820383322,NA
AGRN,246.529395095775,-0.199344500631289,0.164423872151997,-1.21139343361938,0.225744654785203,0.669774978137175
C1orf159,503.001432395207,-0.0928062704732634,0.148073275120527,-0.626393505039871,0.531056868626382,0.839693741781057
AL390719.3,47.0609826873381,0.0672197158726007,0.174939356370147,0.383366469160475,0.701448061413809,0.908942950858558
LINC01342,0.10957384560515,-0.0011056024945083,0.0467251476435816,-0.0232513086180828,0.981449811294428,NA
AL390719.2,0.208846397924667,-0.0345641305825795,0.0633834854531556,-0.582178254772849,0.560446618835735,NA
TTLL10,0.791816992088251,0.0952368634422493,0.10958784479225,0.916672222938006,0.359314425880091,NA
TNFRSF18,2.12398322231252,-0.129444743695858,0.14139096238565,-0.887542731918722,0.374786770485643,NA
TNFRSF4,0.879843337096154,-0.0811735594731236,0.114666260796634,-0.742374717075774,0.457860333579457,NA
SDF4,251.131360197311,-0.000104117449143843,0.116663159774029,-0.000892665058260728,0.999287756426638,0.99975324366731
B3GALT6,31.1180041122329,-0.185217195011518,0.162492622655256,-1.13996550437279,0.254300672823916,0.692608918592017
C1QTNF12,5.73183138103353,0.0908448200185863,0.160991994841286,0.57176338711713,0.567482284696283,0.856203829620036
AL162741.1,0.940464015164893,-0.143779719241243,0.118848284024711,-1.23445330340376,0.217034037043469,NA
UBE2J2,326.755169828876,-0.0437242828362978,0.0848882121565302,-0.515071342518467,0.606503167423922,0.871744861811072
LINC01786,38.3042000481948,-0.279322542543791,0.158638062832107,-1.75774166211943,0.07879147556,0.511700430105924
SCNN1D,83.4219005989465,-0.179558538570913,0.171815635622968,-1.04345509959726,0.29673756583961,0.721631617442906
ACAP3,1034.32829618008,-0.176911731892178,0.147293428304373,-1.20029028735683,0.230026620565565,0.673117775958813
PUSL1,17.0662884581091,-0.0665167071857643,0.173627081626485,-0.385395803262912,0.699944191417657,0.908023178582548
INTS11,483.59806539755,-0.0341766322638903,0.11767986478374,-0.290464391360114,0.771460988613396,0.931914108146197
AL139287.1,1.501209108861,0.0904740077640015,0.149004844383825,0.600047993609297,0.548474250657883,NA
CPTP,28.0820470145314,-0.31912380973596,0.169276867028538,-1.88826113620339,0.0589909019671998,0.476091837875836
TAS1R3,0.865048809308922,-0.20734190787008,0.115099542416654,-1.87936464293251,0.0601947206450451,NA
