gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MIR1302-2HG,0.186370000254439,-0.00105299254094222,0.050731844564339,0.0409297432909499,0.967351905591686,0.999997438162055
AL627309.1,3.07427638618836,0.0711094811979315,0.155408988863316,0.450823614713366,0.652116680059802,0.999997438162055
AL627309.3,0.0238744633889084,0.00197955740346728,0.036857942459472,0.0589481621639599,0.952993396860032,0.999997438162055
AL627309.5,5.8616832381005,0.0989537209352206,0.166358349330207,0.529501551264718,0.596457568602881,0.999997438162055
AP006222.2,0.0112078837071092,0.00446367578128447,0.0368343475530475,0.182154048584753,0.85546183352883,0.999997438162055
AL669831.2,0,NA,NA,NA,NA,NA
LINC01409,32.2576294895264,0.0902775019086739,0.143445275669341,0.606201422609379,0.544381008235767,0.999997438162055
FAM87B,0.087226414830649,0.00876769729643052,0.0514639752661524,0.248273433790271,0.803922852389119,0.999997438162055
LINC01128,12.0326002516419,-0.0491523003005008,0.163046797928197,-0.400078780847524,0.689098492426117,0.999997438162055
LINC00115,1.58604652160639,-0.0676893572622197,0.134048610409045,-0.652444328889473,0.514114575469722,0.999997438162055
FAM41C,2.07844633602189,0.144072840979801,0.159615770606107,0.93879305573877,0.347837004962732,0.999997438162055
AL645608.6,0.70502689285272,0.0763059628204459,0.103686588679113,0.734755660822243,0.46248831497619,0.999997438162055
AL645608.2,0.269934846278233,0.0950557952890829,0.0957382040596384,1.08291580107565,0.27884579766144,0.999997438162055
LINC02593,3.45100328871498,0.161362643739776,0.125218376427743,1.39659843905931,0.162534359963362,0.999997438162055
SAMD11,9.55306951778632,0.340047453338166,0.146579494325946,2.39399515751505,0.0166659688247098,0.999997438162055
NOC2L,42.8067314619198,0.0464458674801454,0.156084380397144,0.263690968182453,0.792018055638443,0.999997438162055
KLHL17,20.0578927060763,0.149808099006931,0.168000329033948,0.926417385252526,0.354229112647987,0.999997438162055
