gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MIR1302-2HG,0,NA,NA,NA,NA,NA
AL627309.1,3.3983358569637,-0.094251385574659,0.128212920471696,-0.727757564087531,0.466762005727045,0.999907708951161
AL627309.3,0.0260996589245239,0.00218894667411644,0.031704291540718,0.101089128289604,0.919479708203516,0.999907708951161
AL627309.5,5.22939610656828,-0.0905246004613029,0.137961506988879,-0.653210051611166,0.513620871006658,0.999907708951161
AP006222.2,0.0143599250620353,0.000652082659917544,0.0316723074687366,0.0304154510458026,0.975735722404202,0.999907708951161
AL669831.2,0.00506476522797997,0.00196878794153143,0.0316523845760217,0.0936029546953123,0.925424562414491,0.999907708951161
LINC01409,10.2481937991753,0.0668896128813254,0.155728605085039,0.43126880727795,0.666272928245079,0.999907708951161
FAM87B,0,NA,NA,NA,NA,NA
LINC01128,6.35261747789604,-0.0201241517884413,0.147016378418568,-0.135517127100945,0.892203023700047,0.999907708951161
LINC00115,1.43403417361386,-0.0267760612606462,0.12424782761467,-0.218301361982671,0.827194313342055,0.999907708951161
FAM41C,1.41254136616568,-0.00289007051540159,0.117846143024706,-0.0241804130661076,0.980708701671543,0.999907708951161
AL645608.6,0.0279138962156248,0.00546464796217968,0.0316929572174525,0.283475865780284,0.776812079551728,0.999907708951161
AL645608.2,0.0272257533234452,-0.00091025910713795,0.0317057513931451,-0.0436511346919261,0.965182490924157,0.999907708951161
LINC02593,0.396028044809833,0.0076259457682084,0.0516737325212278,0.215469772912078,0.829401076301234,0.999907708951161
SAMD11,0.203011675798301,0.0466958100452317,0.0685123331644132,0.855485033155762,0.392282686651735,0.999907708951161
NOC2L,11.6481665641773,0.0671021858417561,0.154445589179033,0.438282324532292,0.661181637350843,0.999907708951161
KLHL17,4.79278795924764,-0.0440604215544358,0.145314604441677,-0.30538984931108,0.760069251853109,0.999907708951161
PLEKHN1,0.0143011898179215,0.00460279393702861,0.0316721911137776,0.222144833084782,0.824201137894373,0.999907708951161
PERM1,0.0272257533234452,-0.00091025910713795,0.0317057513931451,-0.0436511346919261,0.965182490924157,0.999907708951161
AL645608.7,0.120017935811389,0.00962895614626819,0.0378150236715131,0.346583267833474,0.728904417995774,0.999907708951161
HES4,2.17815476495323,-0.228432027551238,0.124274911463673,-1.82784172811934,0.0675733086082869,0.999907708951161
ISG15,4.93214041258688,0.0145412304834014,0.13373691009722,0.114279102242911,0.909016547953951,0.999907708951161
AL645608.1,0.0729483584847901,0.00286218036006309,0.0402004679398865,0.0958680094089753,0.923625402315182,0.999907708951161
AGRN,5.85162462745491,-0.18447484398573,0.154411417526328,-1.19701677278183,0.231300017270656,0.999907708951161
RNF223,0,NA,NA,NA,NA,NA
C1orf159,10.7072449242492,-0.226296473960572,0.155029104648326,-1.4825823252459,0.138185415950848,0.999907708951161
AL390719.3,0.779656186994356,-0.0105000083688715,0.0940090656262641,-0.12424972294117,0.901117554008889,0.999907708951161
LINC01342,0.0584313231061105,0.000629183746818523,0.0317707560246632,0.0283544542408963,0.977379449831558,0.999907708951161
AL390719.2,0.0117397338624886,0.00432004547432159,0.0316671619030984,0.209533208200524,0.834032014295625,0.999907708951161
TTLL10,0.209654051470673,0.0090139582692336,0.036454959329818,0.405913384676963,0.684806243135109,0.999907708951161
TNFRSF18,0.470284935408271,-0.000989012235091648,0.069257262666101,-0.0155100958741285,0.987625230119564,0.999907708951161
TNFRSF4,1.1110706822905,-3.16113355652823e-05,0.113607209298194,-0.000296482070846846,0.999763441536582,0.999907708951161
SDF4,15.7490138216712,-0.0480005558548807,0.154094710639332,-0.308372448786418,0.757798943821075,0.999907708951161
B3GALT6,4.441053943317,-0.044149017664885,0.147038873417016,-0.307132321110045,0.758742657149245,0.999907708951161
C1QTNF12,1.49430985859006,0.0565678003707148,0.117038112743182,0.525099989629474,0.599513683318294,0.999907708951161
AL162741.1,0.0362703350106453,0.00325270770775935,0.0317277171580499,0.148912629484265,0.881622575444586,0.999907708951161
UBE2J2,16.4245492898007,-0.169471017198317,0.150015079078024,-1.12726529230189,0.259630332147748,0.999907708951161
LINC01786,0.415275750633749,-0.0384365667106965,0.0790078115652941,-0.571077177379451,0.567947328399095,0.999907708951161
SCNN1D,5.61753086309173,-0.0107214620906575,0.154392009704969,-0.0693095922137096,0.944743190618489,0.999907708951161
ACAP3,40.5710895936649,0.0257038526366502,0.153440123881972,0.168029791699927,0.866559841891256,0.999907708951161
PUSL1,2.18174511293524,-0.0062730035163699,0.132872218320769,-0.0497663188590531,0.960308607066351,0.999907708951161
INTS11,23.8443740965398,-0.0459379497326846,0.152563726485364,-0.305825666751312,0.759737384938183,0.999907708951161
AL139287.1,0.0291666677781184,0.00334459905493267,0.0317116423249823,0.152752596530602,0.878593381396981,0.999907708951161
CPTP,5.47098202671359,0.00692555035401202,0.136301734624559,0.0511983006173683,0.959167505981477,0.999907708951161
TAS1R3,0.426308989965703,0.0355011641424282,0.0806470275794799,0.482760798938493,0.629265588033716,0.999907708951161
DVL1,10.4529048513474,0.0109869716449675,0.154068014522435,0.0719462062597398,0.942644718022763,0.999907708951161
MXRA8,0.691903617753233,-0.016374095075114,0.0842138938130149,-0.225204263688559,0.821820372699367,0.999907708951161
AURKAIP1,11.0588920244052,-0.0773188080296111,0.155218283359057,-0.496491233437662,0.619547870952419,0.999907708951161
CCNL2,29.9180554402883,-0.0142114282499144,0.142569910710039,-0.0996043737081748,0.920658421379716,0.999907708951161
MRPL20-AS1,2.23012950003418,-0.0923008262353239,0.140161098286577,-0.671474289375056,0.501918432990242,0.999907708951161
MRPL20,11.7767147798207,-0.205535114282685,0.155661609073181,-1.32162328007583,0.18629362731136,0.999907708951161
AL391244.2,1.13223932877874,-0.0045678461627316,0.113805958194135,-0.0418598380803145,0.966610432885466,0.999907708951161
ANKRD65,2.85601807589563,-0.0245458416303617,0.106151666138472,-0.249208579681905,0.803199443129259,0.999907708951161
AL391244.1,0.00506476522797997,0.00196878794153143,0.0316523845760217,0.0936029546953123,0.925424562414491,0.999907708951161
TMEM88B,0.0681321549640522,0.00204316994520481,0.0395294407313152,0.070436769491438,0.943846026089886,0.999907708951161
LINC01770,0.078720302272904,0.00785770051840865,0.0345196850301531,0.323876395728827,0.746031615080999,0.999907708951161
VWA1,3.37602490081807,-0.0584179424158514,0.117959451957469,-0.474039185109007,0.635471964464303,0.999907708951161
