gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MIR1302-2HG,0,NA,NA,NA,NA,NA
AL627309.1,0.214472958167251,-0.0584056363734253,0.156094307947202,-0.409242416883227,0.682361768998617,0.999605274132133
AL627309.3,0,NA,NA,NA,NA,NA
AL627309.2,0,NA,NA,NA,NA,NA
AL627309.5,0.123467161907033,0.0336561591754043,0.120087707389215,0.298681977462999,0.765182709591532,0.999605274132133
AP006222.2,0,NA,NA,NA,NA,NA
AC114498.1,0.0329802321717918,-0.0231453818638756,0.104257898135807,-0.232276683802764,0.816323120875535,0.999605274132133
AL669831.2,0,NA,NA,NA,NA,NA
LINC01409,3.59316848133839,-0.425935974559748,0.282613049767715,-1.51253947377643,0.130396678558652,0.999605274132133
FAM87B,0.0329802321717918,-0.0231453818638756,0.104257898135807,-0.232276683802764,0.816323120875535,0.999605274132133
LINC01128,1.729014262931,0.112123343384158,0.284525495545794,0.394300655422055,0.693359079445798,0.999605274132133
LINC00115,0.421306202571168,0.077093510673827,0.173348252898732,0.410532591888801,0.681415300339301,0.999605274132133
FAM41C,0.0581917344637717,-0.0125944555981593,0.104319217311717,-0.128063576955782,0.898098660033379,0.999605274132133
AL645608.6,0.186138742846836,-0.00855423755026733,0.127238668681676,-0.0613829239365151,0.951054251437781,0.999605274132133
LINC02593,0,NA,NA,NA,NA,NA
SAMD11,0.377298866077348,0.221981737951429,0.205920231182421,1.03062194316317,0.302718141848137,0.999605274132133
NOC2L,3.33102501232697,-0.137982279791545,0.282638948795149,-0.4732867814824,0.636008591454708,0.999605274132133
KLHL17,0.507381878702678,-0.288919670877382,0.2232531568143,-1.29074218972606,0.196793089835628,0.999605274132133
PLEKHN1,0,NA,NA,NA,NA,NA
PERM1,0,NA,NA,NA,NA,NA
AL645608.7,2.55510043071663,-0.557901818498209,0.258400236076492,-2.14262376531938,0.0321433212836374,0.999605274132133
HES4,31.6201243290452,0.0520697035198648,0.285349455183998,0.182469529129461,0.855214265139517,0.999605274132133
ISG15,12.5350196712674,-0.779027504769158,0.233721407487802,1.09599095647363,0.27308273214146,0.999605274132133
AL645608.1,0.323522699549083,-0.0652790179716027,0.115611923684782,-0.562998251802711,0.5734360743647,0.999605274132133
AGRN,0.391185025273046,0.109752116338341,0.1792704400439,0.570132508954803,0.56858782747034,0.999605274132133
C1orf159,3.03855971478168,-0.325292659369949,0.288906613619192,-1.15458839328,0.248259021934355,0.999605274132133
AL390719.3,0.139964888194078,-0.0409411279709573,0.119632151155382,-0.283549095251823,0.776755952553958,0.999605274132133
LINC01342,0,NA,NA,NA,NA,NA
AL390719.2,0,NA,NA,NA,NA,NA
TTLL10-AS1,0,NA,NA,NA,NA,NA
TTLL10,0.0441570879281943,0.000481625664019481,0.10426068581854,0.00503363011266373,0.995983761208517,0.999605274132133
TNFRSF18,0.0508591864244779,-0.0231453818638756,0.104257898135807,-0.232276683802764,0.816323120875535,0.999605274132133
TNFRSF4,0.554891886331206,0.212435761545804,0.219335097227092,1.02785714707487,0.30401702986975,0.999605274132133
SDF4,6.84732222059598,0.262507692458365,0.265094289583383,0.990420948189609,0.321968410542513,0.999605274132133
B3GALT6,1.79846077295709,0.0369323090855552,0.282543808596128,0.129886953954444,0.896655866082896,0.999605274132133
C1QTNF12,0.609105952105004,0.0209742936133164,0.21415581855597,0.115906051404146,0.90772699969689,0.999605274132133
AL162741.1,0,NA,NA,NA,NA,NA
