gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MIR1302-2HG,0,NA,NA,NA,NA,NA
AL627309.1,4.71622334945843,0.256184592712275,0.149937594430005,1.67558265551926,0.0938199684920085,0.999982159886908
AL627309.3,0.104318832881012,-0.00722770359039498,0.0361189929536171,-0.268344202479218,0.788434384772325,0.999982159886908
AL627309.2,0.151013713692777,-0.0224512805674879,0.042858199296682,-0.657748123539249,0.510699993820961,0.999982159886908
AL627309.5,1.98776862589076,-0.175223865335211,0.115723228765629,-1.48962919001597,0.136321762483544,0.999982159886908
AP006222.2,0.333992257245925,0.000330803642164391,0.0720685365810992,0.00499351988816541,0.996015764135158,0.999982159886908
AC114498.1,0.0460932319372977,-0.011751452124583,0.0360899737833817,-0.394754399112651,0.693024151595734,0.999982159886908
AL669831.2,0,NA,NA,NA,NA,NA
LINC01409,73.5738923614248,-0.196892684146588,0.166166015619134,-1.20307371643554,0.228947795417675,0.999982159886908
FAM87B,0.0332366943791957,-0.00592687477658391,0.0360907484130837,-0.179804587815828,0.857305981764251,0.999982159886908
LINC01128,37.6063919277683,0.0783675509945144,0.160907428792276,0.485047547296934,0.627642618147754,0.999982159886908
LINC00115,1.40899878663374,0.0137294010024031,0.118619493837808,0.112479166917192,0.910443487301499,0.999982159886908
FAM41C,0.183412679109125,-0.0334904989838994,0.0599063274448944,-0.651156645305451,0.514945373633682,0.999982159886908
AL645608.6,0.820012511148693,-0.0790218047688491,0.0973765824598009,-0.912908747270629,0.36129053663003,0.999982159886908
LINC02593,0.263622395485854,-0.0316001950752038,0.0537600995085836,-0.685956817064387,0.492740339808423,0.999982159886908
SAMD11,3.70734936973064,0.0740566502736174,0.0911937228501997,1.31457137323756,0.188653996275938,0.999982159886908
NOC2L,25.6699661319424,-0.0182225831583626,0.158262507143756,-0.115848282894098,0.907772783881012,0.999982159886908
KLHL17,6.63944633827203,0.322798555977872,0.164182202297269,1.98004112842832,0.0476989074225358,0.999982159886908
PLEKHN1,0.688347834195321,-0.0580043079861799,0.0998477900776665,-0.615396639407021,0.538292810216971,0.999982159886908
PERM1,0.310035969430837,-0.00646137863113237,0.0635942551376612,-0.133436540346508,0.893848148764345,0.999982159886908
AL645608.7,0.694696450917954,-0.116339665508237,0.0846308312470519,-1.39201878402165,0.163916709889886,0.999982159886908
HES4,20.4741142868995,-0.430187380668824,0.167481689079726,-2.55799376643904,0.0105277979410474,0.999982159886908
ISG15,6.16525543803467,-1.06130869509216,0.167577072033765,-2.74160471664917,0.00611398688934379,0.999982159886908
AL645608.1,0.232368603328525,-0.0105031458754772,0.0641320872945823,-0.206823229202889,0.83614791408458,0.999982159886908
AGRN,1.61768301526724,-0.122935511671258,0.112218112724167,-1.17119191219955,0.24152164549778,0.999982159886908
C1orf159,59.3430541177783,-0.059009909816736,0.133129518930619,-0.444728289237036,0.656516122963763,0.999982159886908
AL390719.3,1.49879772896443,-0.0526643506298857,0.137097036619359,-0.378182993478714,0.705294658195017,0.999982159886908
LINC01342,0.164039609400455,-0.0158306133360616,0.0610079242223459,-0.31597491160529,0.75202155095076,0.999982159886908
AL390719.2,0,NA,NA,NA,NA,NA
TTLL10-AS1,0,NA,NA,NA,NA,NA
TTLL10,0.313159601919734,-0.0555625805336057,0.0813995274911023,-0.755434720500261,0.44998818704989,0.999982159886908
TNFRSF18,0.140793685455732,-0.0056445665949688,0.0463864449829654,-0.120067969237106,0.904429305638795,0.999982159886908
TNFRSF4,0.599801598676999,-0.0548153079552983,0.0763356084729905,-0.827984595881687,0.407679223720947,0.999982159886908
SDF4,41.2254622022124,-0.00535184393646688,0.144545797209677,-0.0368398248211934,0.970612719971788,0.999982159886908
B3GALT6,4.9513138019963,0.103333418477262,0.155758316258569,0.644703967658777,0.519119044630264,0.999982159886908
C1QTNF12,0.846054227925092,-0.19464119953939,0.110458054057581,-1.70732901313888,0.0877609163878971,0.999982159886908
AL162741.1,0.144824746291662,-0.00362974037881508,0.0360902723358263,-0.124727932905098,0.900738942818751,0.999982159886908
UBE2J2,41.3294920757819,-0.0788266832389839,0.139229802728925,-0.56934401040733,0.569122705292943,0.999982159886908
LINC01786,4.18583318144959,-0.079788897142589,0.156104768415322,-0.496162464147384,0.619779791473858,0.999982159886908
SCNN1D,13.1376112988168,-0.524614244771838,0.167581843251672,-3.16576016066364,0.00154678272453704,0.973027881411481
ACAP3,99.6948547550444,-0.0777822075573388,0.13519299024621,-0.575366725658262,0.565043302948723,0.999982159886908
PUSL1,2.17908009074371,-0.124677049287206,0.138502618002687,-0.86276079416047,0.388268999161784,0.999982159886908
INTS11,53.7124878841406,-0.17777283564507,0.138161251363325,-1.29495140207135,0.195336994736442,0.999982159886908
CPTP,5.56625884172219,-3.57706163373705e-05,0.160323866489219,-0.00021906736902589,0.999825209529877,0.999982159886908
TAS1R3,0.0841702097932019,0.00266983058448064,0.036751619248093,0.0789312350814389,0.93708731873616,0.999982159886908
DVL1,19.4677029786025,-0.142974516830656,0.164112371654446,-0.873789295625324,0.382233010952735,0.999982159886908
MXRA8,2.35536489011833,-0.259948085545321,0.134860539531056,-1.99156928270469,0.0464183364761998,0.999982159886908
AURKAIP1,12.871724624615,-0.1434798670998,0.167222146236032,-0.862737095008629,0.38828203210228,0.999982159886908
CCNL2,85.7950768732212,-0.31308823751152,0.120442215834733,-2.59703627311999,0.0094031993511337,0.999982159886908
MRPL20-AS1,2.90398533922477,-0.0405345606771955,0.143289840276712,-0.284502768274585,0.776025112876055,0.999982159886908
MRPL20,24.1432720133144,0.0606842060411306,0.16644474306161,0.359501396009337,0.719220033654852,0.999982159886908
AL391244.2,0.944225011492817,0.0670619512031957,0.0904761502401369,0.715384385386196,0.474371558302562,0.999982159886908
ANKRD65,3.13619129418838,-0.0694030230807709,0.155330020404853,-0.443251082532231,0.657584134024112,0.999982159886908
AL391244.1,0.0492055861733397,-0.0111013542515719,0.0360862487588728,-0.394459700714322,0.693241674409779,0.999982159886908
TMEM88B,0.106383973320993,-0.00966583605542152,0.0473953596955178,-0.244000887943707,0.807230132220824,0.999982159886908
LINC01770,0.00401471116055923,-0.00742618711495281,0.0360637875474287,-0.250947631100084,0.80185459807862,0.999982159886908
VWA1,9.5166718812579,0.0236795396713214,0.167513332234661,0.144302919402399,0.885261273087778,0.999982159886908
ATAD3C,3.3310399373109,0.192275381099581,0.14596210963052,1.36752063230628,0.171462174712625,0.999982159886908
ATAD3B,26.9764399584502,-0.23968674035792,0.147782907029886,-1.6227861824286,0.10463512052454,0.999982159886908
