gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MIR1302-2HG,0.200686581467758,-0.0178217112905117,0.045584616331119,-0.525833899954063,0.59900361854524,NA
AL627309.1,24.1352777602454,0.338029160798926,0.182406681491171,1.8563497516388,0.0634037219687075,0.395731077559217
AL627309.3,0.886551454654214,-0.0446112897565515,0.123917777207296,-0.371006716021451,0.710632529485131,NA
AL627309.2,0.0580000648438427,-0.021454752897001,0.0455389971896863,-0.563949024303714,0.572788824658721,NA
AL627309.5,10.8541142783695,-0.132935335983969,0.18699633755608,-0.720340254340204,0.47131552576685,0.815134048980582
AP006222.2,0.679479381514041,-0.0226269926844551,0.107833483652302,-0.194267356275675,0.845966544601053,NA
AC114498.1,0.85078298607245,-0.218564111983805,0.133828047402346,-1.64687957059629,0.0995828018129648,NA
AL669831.2,0.0414003289121456,-0.0189922526573194,0.0454868072049536,-0.517747034031434,0.604634777493546,NA
LINC01409,193.024060791521,0.0981832924916426,0.123599144719201,0.79372604136746,0.427354936547753,0.794084645876166
FAM87B,0.201073517543996,-0.00474073163590814,0.0783469791022518,-0.0732671149914234,0.941593559780289,NA
LINC01128,55.5091296632354,-0.202924447078035,0.174041501477819,-1.15930309221476,0.246332661771271,0.662064996855096
LINC00115,15.2941218591699,-0.388073166070963,0.186931922743054,-2.07879496086013,0.0376362002618567,0.326820317990141
FAM41C,1.09385183916228,-0.0227871077207876,0.13557160094587,-0.187452648019674,0.851305746943595,NA
AL645608.6,0.207874426133252,-0.00946911960668217,0.0782930873697117,-0.132045361924004,0.89494841222634,NA
LINC02593,1.34787870824134,-0.0521905719844672,0.138420963668649,-0.380800282052939,0.703351449957138,NA
SAMD11,4.96279431464012,-0.0194088386087158,0.171803240682504,-0.106738363059263,0.914996547124125,NA
NOC2L,100.277102805017,-0.383727127584294,0.148870819091884,-2.57778541558052,0.0099435725587467,0.200813555190314
KLHL17,15.040000040507,0.0151011351448543,0.188232053195202,0.0799386307647757,0.936286065217731,0.984176154541195
PLEKHN1,0.220896831393087,-0.0318252185961025,0.0530881092650705,-0.726068910540382,0.467796526871977,NA
PERM1,1.06756030299108,-0.0581310258276156,0.106704872263426,-0.701147255709799,0.48321112200139,NA
AL645608.7,1.23891972466121,-0.15829484680411,0.119660014300919,-1.39317431393588,0.163567085137449,NA
HES4,22.422812750714,-0.451406871074457,0.18438889503718,-2.39143523983319,0.0167826444099706,0.244440322149308
ISG15,8.95861797644213,-1.70662590589885,0.180524187731098,1.24883516426486,0.211725369533594,0.627484524240029
AL645608.1,0.24614890784059,-0.0493971579222015,0.0783540923260875,-0.625642916218172,0.531549182873946,NA
AGRN,19.9098313382625,-0.2830388459884,0.186101961454425,-1.49949279725278,0.133745835883928,0.530205988905791
C1orf159,206.993463460927,-0.0420063808908938,0.167034837840024,-0.250362845936489,0.802306759456929,0.945473441619125
AL390719.3,20.5183758277891,-0.273558552047258,0.188130153955154,-1.4634952049489,0.14333192474533,0.545495303321355
LINC01342,0.482320018867583,0.000901271016317725,0.105734565004979,0.00998206870323776,0.992035593761523,NA
AL390719.2,0.0634587182313948,-0.0152601482077585,0.0455565413324093,-0.401485952793724,0.688062378294247,NA
TTLL10-AS1,0.146935307785706,-0.0262791676677843,0.0570778341398168,-0.611924306846581,0.540587838854752,NA
TTLL10,0.778741863468384,0.0492239354124776,0.115962733690708,0.489232967963048,0.624676771639851,NA
TNFRSF18,3.20941519239232,-0.0987270939518079,0.135065849517875,-0.782400448692767,0.433979270201345,NA
TNFRSF4,0.258205235984249,-0.0634954599211429,0.0871205307025445,-0.711715211816942,0.476641145958646,NA
SDF4,159.300114742288,-0.204318370436144,0.137922394901479,-1.48477678949089,0.137602962313397,0.537858353195763
B3GALT6,28.2491310090384,-0.199528686050343,0.187229994055173,-1.07426413546137,0.282704314442303,0.693573127332828
