gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ANKRD18A,1115.79660036983,1.1421122321618,0.170084770982858,6.7656567331393,1.32705845029084e-11,2.0582676564011e-07
AC103770.1,76.2541491322081,-0.991471171791929,0.164016413456479,-6.02358498074053,1.70595471584658e-09,1.32296788213902e-05
LUCAT1,156.61306110419,0.980091209909657,0.16498644430009,5.93772324304417,2.8900736701193e-09,1.49416808745168e-05
SORL1,558.848937863122,0.907766419839742,0.15549066961811,5.83789229721193,5.28653112029515e-09,2.04985244189444e-05
ANKRD18B,62.9014049642997,1.00769539765309,0.171545286811902,5.79833596582585,6.69761706188216e-09,2.07760081259585e-05
LSR,11.5818627024067,-1.05950269333537,0.18809868999169,-5.66034723347068,1.51067015221103e-08,3.90508234346551e-05
AC097467.3,12.4108606765116,-0.844984761458747,0.166409159127973,-5.30976983776397,1.09763761895597e-07,0.000243205135285816
SSBP3,642.960827961798,0.569161047699691,0.114380740980021,4.97243834420352,6.61160017785942e-07,0.00128182398448249
BEX1,70.2253806660874,-0.880207257223524,0.179708147554613,-4.9144672335447,8.9024211998236e-07,0.00153418392010293
AL355499.1,31.118827924842,0.902858810096644,0.187423121718263,4.87822736876205,1.0704349045683e-06,0.00166024453698543
HIST1H2BD,64.1938054965157,0.858266591115928,0.185095713303004,4.72821543672781,2.26501786200574e-06,0.0031936751854281
JAKMIP3,1032.15762357316,0.662860438487796,0.141825487398576,4.67476633733168,2.94288490844327e-06,0.00326029606642536
ACSBG1,575.333090924531,0.817087533887038,0.175935599251101,4.69321987901166,2.68938159617708e-06,0.00326029606642536
AC007785.1,180.546038355004,0.814754570679142,0.175208973986575,4.68680800184257,2.7749907204232e-06,0.00326029606642536
PTPRE,528.671706982758,0.649701420372797,0.139316461849383,4.65376445783432,3.25929106690952e-06,0.00337010696318445
HIST1H2BJ,9.52734862678724,0.832226491049871,0.187313473803673,4.62288131900858,3.78446264514796e-06,0.00345276562507322
CNTNAP3,120.455740465325,0.732787922052604,0.157951109218142,4.63135698243575,3.63276893705343e-06,0.00345276562507322
MAP1LC3A,153.797403693601,-0.78806312129386,0.17184154925324,-4.58128768851532,4.62121605404791e-06,0.00398194783323795
AC025810.1,105.553454551746,0.825054042351006,0.188289334276324,4.51350733579726,6.37642430213188e-06,0.00520517583821397
LRP5,60.9631913130732,0.765643351506297,0.169533909297459,4.49737635664611,6.87971448756981e-06,0.00533521858511039
STK10,95.5209213148252,0.67753778816123,0.151156211065121,4.46513367371193,8.00187759405242e-06,0.005909958165893
AC006262.1,27.343136818044,0.844857758926946,0.188178666764716,4.43762378925601,9.09574138400521e-06,0.00641249767572367
TRHDE-AS1,36.0316831910821,-0.689092296386482,0.163528828931366,-4.42097477116646,9.82566465124162e-06,0.00662591559742424
OPALIN,1370.34738615606,-0.76453959321973,0.17291338691988,-4.40075998595886,1.07872392799849e-05,0.00669240324930264
AMN1,386.88468659186,0.41259944048081,0.0935758123144144,4.40381154369783,1.06365351435318e-05,0.00669240324930264
HDAC5,320.948706657445,0.441641398846068,0.10155548128894,4.3489409710513,1.36796523585166e-05,0.00816043877233047
COX19,298.686396842087,0.49703516212838,0.114780600807845,4.3235706720666,1.53523927044401e-05,0.00881909669799506
EPHB2,309.808847074974,0.657536121057252,0.15219440730815,4.31343114124902,1.60740219494301e-05,0.00890386001555929
SCRN1,275.692827778441,0.498610317543896,0.115783558306374,4.30089289947015,1.70111267773054e-05,0.00909801987296574
SLC35F3,280.317168976574,0.772224110127926,0.188110626493777,4.27929912219214,1.87482759191001e-05,0.00969285865017476
HMBOX1,774.704774738778,0.308233333264598,0.0726346394245025,4.24286384191566,2.20685340636389e-05,0.010286307485151
PLAT,16.4118225479532,-0.614057898349987,0.152204659418499,-4.23802998948112,2.25489654735741e-05,0.010286307485151
KLHL35,25.4756930897888,-0.6777288852549,0.162992813122834,-4.2490861727076,2.14644342998125e-05,0.010286307485151
PLCXD1,166.736929349209,0.557904795373353,0.163037311030175,4.24083107416989,2.22693694277579e-05,0.010286307485151
PDGFD,41.7304558685226,-0.784851456204504,0.186635201765365,-4.1981892242154,2.69057770653381e-05,0.0113540057101452
TCF4-AS1,25.2693334567014,-0.746229398886159,0.177192486609677,-4.20788595718757,2.57770892367815e-05,0.0113540057101452
RUNX1,115.830888597156,0.684697685885298,0.163205671468736,4.19667987382168,2.708563580112e-05,0.0113540057101452
CYP4F26P,150.425517539858,0.750952744720642,0.182670223833046,4.13372763057345,3.56926439464186e-05,0.0145682344107619
CPXM2,111.661704907449,0.756679986576246,0.188305739740518,4.1237749478767,3.72713075729009e-05,0.0146733610009278
AP001977.1,67.3040693279734,0.732372209048176,0.186018102986893,4.12027330773442,3.78423236645463e-05,0.0146733610009278
ZNF675,146.477335125899,0.53800941385497,0.131486659303867,4.08557133076429,4.39684897396361e-05,0.0166329579478477
AC016074.2,15.1814064618351,-0.732585364784668,0.176864736140683,-4.07068215452688,4.68756709697272e-05,0.0172027301559396
AC008440.2,12.016553892314,-0.748029119320538,0.186338366377067,-4.06665419124209,4.76929333788139e-05,0.0172027301559396
ZNF254,468.699859298803,0.354303407738561,0.0881348001315387,4.01559298129411,5.92965147498005e-05,0.0209020214493047
TPTE2,110.22029548331,0.589649982025024,0.1471466989537,4.00566092059991,6.18443132106033e-05,0.0213156732865879
CREG2,117.678879034407,-0.728157380833929,0.183041044186355,-3.97366373823199,7.07754641586197e-05,0.0214898914087924
CTDSP1,109.984209664189,-0.500393472560278,0.125527594303995,-3.99204870180578,6.55049151171511e-05,0.0214898914087924
AC079382.2,41.0781366809618,0.727894330506568,0.184654139465866,3.97409967570379,7.06459752858679e-05,0.0214898914087924
SGMS2,77.1634407695942,-0.745599638840403,0.186726187247009,-3.98660309017196,6.70260122651339e-05,0.0214898914087924
